pname,purl
quill,pkg:generic/quill@8.2.0?source_hash=17381f3ff19af9b1fb4e8ba83f4f3c9e3e54c4aea58353282f4d3ac3e9002224
icu,pkg:generic/icu?source_hash=dfacb46bfe4747410472ce3e1144bf28a102feeaa4e3875bac9b4c6cf30f4f3e
oatpp,pkg:generic/oatpp@1.3.0?source_hash=e1f80fa8fd7a74da6737e7fee1a4db68b4d7085a3f40e7d550752d6ff5714583
nonstd-byte-lite,pkg:generic/byte-lite@0.2.0?source_hash=34221fba6800b3a5af4a17a274fc024afb2d49b3b4ec9ac61588305375891a20
lame,pkg:generic/lame@3.100?source_hash=ddfe36cab873794038ae2c1210557ad34857a4b6bdc515785d1da9e175b1da1e
fribidi,pkg:generic/fribidi@1.0.16?source_hash=1b1cde5b235d40479e91be2f0e88a309e3214c8ab470ec8a2744d82a5a9ea05c
miniz,pkg:generic/miniz@3.0.2?source_hash=ada38db0b703a56d3dd6d57bf84a9c5d664921d870d8fea4db153979fb5332c5
rxcpp,pkg:generic/RxCpp@4.1.1?source_hash=054a9be63e66904ecaa552ce56d6458b4545d6da5ea32f5103c7fc379cebb374
mdds,pkg:generic/mdds@2.1.1?source_hash=4b9b4ef83826562a57d55089141c8d59789fae829fd6402cbb95d480c0737b7d
ogg,pkg:generic/libogg@1.3.5?source_hash=c4d91be36fc8e54deae7575241e03f4211eb102afb3fc0775fbbc1b740016705
tinyply,pkg:generic/tinyply@2.3.4?source_hash=1bb1462727a363f7b77a10e51cd023095db7b281d2f201167620a83e495513c6
libxv,pkg:generic/libXv@1.0.11?source_hash=d26c13eac99ac4504c532e8e76a1c8e4bd526471eb8a0a4ff2a88db60cb0b088
irepeat,pkg:generic/IREPEAT@0.6?source_hash=ee128300512337ad5b9c5ec8c13138eb901fef61d3bf0aebb836d307bd2bbd14
c-ares,pkg:generic/c-ares@1.34.4?source_hash=fa38dbed659ee4cc5a32df5e27deda575fa6852c79a72ba1af85de35a6ae222f
liblzma,pkg:generic/xz@5.2.12?source_hash=f79a92b84101d19d76be833aecc93e68e56065b61ec737610964cd4f6c54ff2e
epoxy,pkg:generic/libepoxy@1.5.10?source_hash=a7ced37f4102b745ac86d6a70a9da399cc139ff168ba6b8002b4d8d43c900c15
cexception,pkg:generic/CException@1.3.4?source_hash=641d26b32d1f92e7ec31bd5f1e86a1230e49b6a3eaaa181571ef1a5c9d2d22d1
nonstd-any-lite,pkg:generic/any-lite@0.2.0?source_hash=945ac39f14273be742c8a060af100182e38920f641e5d8fa16699e74a09e9850
vulkan-validationlayers,pkg:generic/Vulkan-ValidationLayers@1.2.158?source_hash=9d7a6eba2db88b8af6457acce0b638324ca03cde2e9589ae96749114091c6e9e
qrencode,pkg:generic/qrencode@4.1.1?source_hash=da448ed4f52aba6bcb0cd48cac0dd51b8692bccc4cd127431402fca6f8171e8e
libexif,pkg:generic/libexif@0.6.24?source_hash=d47564c433b733d83b6704c70477e0a4067811d184ec565258ac563d8223f6ae
libdicom,pkg:generic/libdicom@1.1.0?source_hash=058bfaa7653c60a70798e021001d765e3f91ca4df5a8824b7604eaa57376449b
muellan-clipp,pkg:generic/clipp@1.2.3?source_hash=73da8e3d354fececdea99f7deb79d0343647349563ace3eafb7f4cca6e86e90b
libmicrohttpd,pkg:generic/libmicrohttpd@0.9.77?source_hash=9e7023a151120060d2806a6ea4c13ca9933ece4eacfc5c9464d20edddb76b0a0
chipmunk,pkg:generic/Chipmunk2D-Chipmunk@7.0.3?source_hash=1e6f093812d6130e45bdf4cb80280cb3c93d1e1833d8cf989d554d7963b7899a
unity,pkg:generic/Unity@2.6.1?source_hash=b41a66d45a6b99758fb3202ace6178177014d52fc524bf1f72687d93e9867292
sdl2_mixer,pkg:generic/SDL2_mixer@2.6.2?source_hash=8cdea810366decba3c33d32b8071bccd1c309b2499a54946d92b48e6922aa371
box2d,pkg:generic/box2d@2.4.1?source_hash=d6b4650ff897ee1ead27cf77a5933ea197cbeef6705638dd181adc2e816b23c2
cmocka,pkg:generic/cmocka@1.1.7?source_hash=810570eb0b8d64804331f82b29ff47c790ce9cd6b163e98d47a4807047ecad82
bdwgc,pkg:generic/gc@8.2.8?source_hash=7649020621cb26325e1fb5c8742590d92fb48ce5c259b502faf7d9fb5dabb160
tracy,pkg:generic/tracy@0.10?source_hash=a76017d928f3f2727540fb950edd3b736caa97b12dbb4e5edce66542cbea6600
flac,pkg:generic/flac@1.4.3?source_hash=6c58e69cd22348f441b861092b825e591d0b822e106de6eb0ee4d05d27205b70
cpp-semver,pkg:generic/cpp-semver@0.3.3?source_hash=05d59da347b5b5b4f34670d32704a54219657c9856a7af6645f06064006c6c68
ludocode-mpack,pkg:generic/mpack@1.1.1?source_hash=7e8dfc95266ac3e1a1a87383c01eb3bf66a61ae06374cf040b3383644bc8d2e6
cli11,pkg:generic/CLI11@2.5.0?source_hash=17e02b4cddc2fa348e5dbdbb582c59a3486fa2b2433e70a0c3bacb871334fd55
dyninst,pkg:generic/dyninst@13.0.0?source_hash=1bc48d26478b677a6c090c25586a447507bd1b4cf88d369bd61820005ce1be39
jbigkit,pkg:generic/jbigkit@2.1?source_hash=de7106b6bfaf495d6865c7dd7ac6ca1381bd12e0d81405ea81e7f2167263d932
sdl2_image,pkg:generic/SDL2_image@2.6.3?source_hash=931c9be5bf1d7c8fae9b7dc157828b7eee874e23c7f24b44ba7eff6b4836312c
check,pkg:generic/check@0.15.2?source_hash=998d355294bb94072f40584272cf4424571c396c631620ce463f6ea97aa67d2e
sdl2_net,pkg:generic/SDL2_net@2.2.0?source_hash=4e4a891988316271974ff4e9585ed1ef729a123d22c08bd473129179dc857feb
libxml2,pkg:generic/libxml2@2.13.6?source_hash=f453480307524968f7a04ec65e64f2a83a825973bcd260a2e7691be82ae70c96
libtirpc,pkg:generic/libtirpc@1.3.3?source_hash=6474e98851d9f6f33871957ddee9714fdcd9d8a5ee9abb5a98d63ea2e60e12f3
libdrm,pkg:generic/libdrm@2.4.124?source_hash=ac36293f61ca4aafaf4b16a2a7afff312aa4f5c37c9fbd797de9e3c0863ca379
tinyfsm,pkg:generic/tinyfsm@0.3.3?source_hash=99aaad53ddb9b9b3fbb535a6983e9c86a0b8c8ef112181cddcb6f3857b440d09
hinnant-date,pkg:generic/date@3.0.1?source_hash=7a390f200f0ccd207e8cff6757e04817c1a0aec3e327b006b7eb451c57ee3538
sds,pkg:generic/sds@2.0.0?source_hash=379c88d31bf9957006130c00671c28612a8647d5f38ff09cb75efb7abf08f6bb
soundtouch,pkg:generic/soundtouch?source_hash=ed714f84a3e748de87b24f385ec69d3bdc51ca47b7f4710d2048b84b2761e7ff
liblastfm,pkg:generic/lastfmlib@1.0.1?source_hash=4b7ed7566737f7e253d1bd0c40e5d81e6cae599eace07c2a57e7a1e11b0769aa
tree-sitter,pkg:generic/tree-sitter@0.22.5?source_hash=6bc22ca7e0f81d77773462d922cf40b44bfd090d92abac75cb37dbae516c2417
doctest,pkg:generic/doctest@2.4.11?source_hash=632ed2c05a7f53fa961381497bf8069093f0d6628c5f26286161fbd32a560186
lz4,pkg:generic/lz4@1.10.0?source_hash=537512904744b35e232912055ccf8ec66d768639ff3abe5788d90d792ec5f48b
lzo2,pkg:generic/lzo@2.10?source_hash=c0f892943208266f9b6543b3ae308fab6284c5c90e627931446fb49b4221a072
nonstd-span-lite,pkg:generic/span-lite@0.5.0?source_hash=405ae095bca3c63da28c72a3528369b9ba3996f1992f3ae90fcb01a9d8bdef38
graphite2,pkg:generic/graphite2@1.3.14?source_hash=f99d1c13aa5fa296898a181dff9b82fb25f6cc0933dbaa7a475d8109bd54209d
libwebsockets,pkg:generic/libwebsockets@4.3.3?source_hash=6fd33527b410a37ebc91bb64ca51bdabab12b076bc99d153d7c5dd405e4bdf90
cairomm,pkg:generic/cairomm@1.18.0?source_hash=b81255394e3ea8e8aa887276d22afa8985fc8daef60692eb2407d23049f03cfb
msgpackc-cxx,pkg:generic/msgpack-cxx@7.0.0?source_hash=7504b7af7e7b9002ce529d4f941e1b7fb1fb435768780ce7da4abaac79bb156f
robin-map,pkg:generic/robin-map@1.3.0?source_hash=a8424ad3b0affd4c57ed26f0f3d8a29604f0e1f2ef2089f497f614b1c94c7236
magic_enum,pkg:generic/magic_enum@0.9.7?source_hash=b403d3dad4ef542fdc3024fa37d3a6cedb4ad33c72e31b6d9bab89dcaf69edf7
libffmpegthumbnailer,pkg:generic/ffmpegthumbnailer@2.2.3?source_hash=8c9b9057c6cc8bce9d11701af224c8139c940f734c439a595525e073b09d19b8
nlohmann_json,pkg:generic/nlohmann_json@3.11.3?source_hash=a22461d13119ac5c78f205d3df1db13403e58ce1bb1794edc9313677313f4a9d
stc,pkg:generic/STC@4a76ff9bc961750b5d1932496f6b861e794f8178?source_hash=9c8cd0a2e99c82d584cc106376b027183331ad07a5f602422ece95dcea35c2dd
sdl2_ttf,pkg:generic/SDL2_ttf@2.20.1?source_hash=78cdad51f3cc3ada6932b1bb6e914b33798ab970a1e817763f22ddbfd97d0c57
unittest-cpp,pkg:generic/unittest-cpp@2.0.0?source_hash=74852198877dc2fdebdc4e5e9bd074018bf8ee03a13de139bfe41f4585b2f5b9
libxxf86vm,pkg:generic/libXxf86vm@1.1.4?source_hash=afee27f93c5f31c0ad582852c0fb36d50e4de7cd585fcf655e278a633d85cd57
gee,pkg:generic/libgee@0.20.6?source_hash=1bf834f5e10d60cc6124d74ed3c1dd38da646787fbf7872220b8b4068e476d4d
gtest,pkg:generic/googletest@1.15.2?source_hash=7b42b4d6ed48810c5362c265a17faebe90dc2373c885e5216439d37927f02926
libobsd,pkg:generic/libobsd@1.1.1?source_hash=332b72ba5f9a76c40f8a526771b78dae3ac3388f689f818c0ac4ab77ef52809d
cereal,pkg:generic/cereal@1.3.2?source_hash=16a7ad9b31ba5880dac55d62b5d6f243c3ebc8d46a3514149e56b5e7ea81f85f
libsrtp2,pkg:generic/libsrtp@2.7.0?source_hash=54facb1727a557c2a76b91194dcb2d0a453aaf8e2d0cbbf1e3c2848c323e28ad
sergiusthebest-plog,pkg:generic/plog@1.1.10?source_hash=55a090fc2b46ab44d0dde562a91fe5fc15445a3caedfaedda89fe3925da4705a
dlfcn-win32,pkg:generic/dlfcn-win32@1.4.1?source_hash=30a9f72bdf674857899eb7e553df1f0d362c5da2a576ae51f886e1171fbdb399
frozen,pkg:generic/frozen@1.1.1?source_hash=f7c7075750e8fceeac081e9ef01944f221b36d9725beac8681cbd2838d26be45
inih,pkg:generic/inih@r58?source_hash=e79216260d5dffe809bda840be48ab0eec7737b2bb9f02d2275c1b46344ea7b7
mocklibc,pkg:generic/mocklibc@1.0?source_hash=b2236a6af1028414783e9734a46ea051916ec226479d6a55a3bb823bff68f120
grpc,pkg:generic/grpc@1.59.1?source_hash=916f88a34f06b56432611aaa8c55befee96d0a7b7d7457733b9deeacbc016f99
cairo,pkg:generic/cairo@1.18.4?source_hash=445ed8208a6e4823de1226a74ca319d3600e83f6369f99b14265006599c32ccb
godot-cpp,pkg:generic/godot-cpp-godot-4.3@stable?source_hash=e6dfe8ee1ab3eeaadc9dba2dcb5ef39c4a99635986148fa893ce5c414153743f
libxrender,pkg:generic/libXrender@0.9.10?source_hash=c06d5979f86e64cabbde57c223938db0b939dff49fdb5a793a1d3d0396650949
cglm,pkg:generic/cglm@0.9.6?source_hash=be5e7d384561eb0fca59724a92b7fb44bf03e588a7eae5123a7d796002928184
nonstd-status-value-lite,pkg:generic/status-value-lite@1.1.0?source_hash=adcc9f3938b7805c1c465b5cde4e96143e126e7ddbccc00a53b452a8cc4d8ba8
rtaudio,pkg:generic/rtaudio@6.0.1?source_hash=42d29cc2b5fa378ba3a978faeb1885a0075acf0fecb5ee50f0d76f6c7d8ab28c
glpk,pkg:generic/glpk@5.0?source_hash=4a1013eebb50f728fc601bdd833b0b2870333c3b3e5a816eeba921d95bec6f15
libmatroska,pkg:generic/libmatroska-release@1.7.1?source_hash=64763443947833e6c17f1f555f4bb0df6c9f91881810d9d5e0f0bad3622d308b
hedley,pkg:generic/hedley@15?source_hash=e91c71b58f59d08c7b8289be8f687866863d934dfaa528e4be30b178139ae863
mt32emu,pkg:generic/munt@libmt32emu_2_7_1?source_hash=e4524d52d6799a4e32a961a2e92074f14adcb2f110a4e7a06bede77050cfdaf4
openal-soft,pkg:generic/openal-soft@1.24.1?source_hash=e1b6ec960e00bfed3d480330274b0f102dc10e4ae0dbb70fd9db80d6978165b1
zpp_bits,pkg:generic/zpp_bits@4.4.24?source_hash=eff8bf4507f26e670ddf760374c9b691abf501426c468b5fd938cc8d53985153
utfcpp,pkg:generic/utfcpp@4.0.6?source_hash=6920a6a5d6a04b9a89b2a89af7132f8acefd46e0c2a7b190350539e9213816c0
catch2,pkg:generic/Catch2@3.8.0?source_hash=1ab2de20460d4641553addfdfe6acd4109d871d5531f8f519a52ea4926303087
oatpp-websocket,pkg:generic/oatpp-websocket@1.3.0?source_hash=8215765238c595e296c9ea961670064ff9c44e3e0f9accda59d81b10cc29873b
libtiff,pkg:generic/tiff@4.7.0?source_hash=273a0a73b1f0bed640afee4a5df0337357ced5b53d3d5d1c405b936501f71017
ff-nvcodec-headers,pkg:generic/nv-codec-headers@11.1.5.1?source_hash=a28cdde3ac0e9e02c2dde7a1b4de5333b4ac6148a8332ca712da243a3361a0d9
zlib-ng,pkg:generic/zlib-ng@2.2.4?source_hash=a73343c3093e5cdc50d9377997c3815b878fd110bf6511c2c7759f2afb90f5a3
curl,pkg:generic/curl@8.10.1?source_hash=73a4b0e99596a09fa5924a4fb7e4b995a85fda0d18a2c02ab9cf134bebce04ee
libccp4c,pkg:generic/libccp4@8.0.0?source_hash=cb813ae86612a0866329deab7cee96eac573d81be5b240341d40f9ad5322ff2d
cpr,pkg:generic/cpr@1.11.1?source_hash=e84b8ef348f41072609f53aab05bdaab24bf5916c62d99651dfbeaf282a8e0a2
gumbo-parser,pkg:generic/gumbo@parser?source_hash=c0bb5354e46539680724d638dbea07296b797229a7e965b13305c930ddc10d82
glm,pkg:generic/glm@1.0.1?source_hash=9f3174561fd26904b23f0db5e560971cbf9b3cbda0b280f04d5c379d03bf234c
pcre,pkg:generic/pcre@8.45?source_hash=4dae6fdcd2bb0bb6c37b5f97c33c2be954da743985369cddac3546e3218bffb8
harfbuzz,pkg:generic/harfbuzz@10.4.0?source_hash=480b6d25014169300669aa1fc39fb356c142d5028324ea52b3a27648b9beaad8
liblbfgs,pkg:generic/liblbfgs@1.10?source_hash=95c1997e6c215c58738f5f723ca225d64c8070056081a23d636160ff2169bd2f
centurion,pkg:generic/centurion@7.3.0?source_hash=b607a27d17c25d412ef1a6e1db32c527b0cfef1712f0128361abb18624c7d03e
argu-parser,pkg:generic/argu-parser@0.0.1?source_hash=bb9c773364848baab62fbcfbfd10a2acb3beb8051d02fef93e93071959bbc396
fmt,pkg:generic/fmt@11.1.1?source_hash=482eed9efbc98388dbaee5cb5f368be5eca4893456bb358c18b7ff71f835ae43
backward-cpp,pkg:generic/backward-cpp@1.6?source_hash=c654d0923d43f1cea23d086729673498e4741fb2457e806cfaeaea7b20c97c10
libliftoff,pkg:generic/libliftoff@v0.5.0?source_hash=3309218c3137a70faada653690802b514e4e46d9b38e7d9d5948ffcc4831f3b1
netstring-c,pkg:generic/netstring-c@92104d314ad885fd444b70bffd12a2963ef37a2f?source_hash=233bf6c0a9c8516139bb3b4c80ab4345e47e423c28039f3c85aeefd69d3a8fbf
unit-system,pkg:generic/unit-system@0.7.1?source_hash=aa7a7e3a49d98cf571f23bec4b6a38f0a351f822667329a9a271689b81407610
oatpp-zlib,pkg:generic/oatpp-zlib@1.3.0?source_hash=6103b041a424b280e7de1f7ae75404f770049750044531f8d41ec4bafaa9497f
catchorg-clara,pkg:generic/Clara@1.1.5?source_hash=767dc1718e53678cbea00977adcd0a8a195802a505aec3c537664cf25a173142
cwalk,pkg:generic/cwalk@1.2.9?source_hash=54f160031687ec90a414e0656cf6266445207cb91b720dacf7a7c415d6bc7108
pixman,pkg:generic/pixman@0.44.2?source_hash=6349061ce1a338ab6952b92194d1b0377472244208d47ff25bef86fc71973466
liblangtag,pkg:generic/liblangtag@0.6.7?source_hash=5ed6bcd4ae3f3c05c912e62f216cd1a44123846147f729a49fb5668da51e030e
pciaccess,pkg:generic/libpciaccess@0.18.1?source_hash=4af43444b38adb5545d0ed1c2ce46d9608cc47b31c2387fc5181656765a6fa76
orocos_kdl,pkg:generic/orocos_kinematics_dynamics@1.5.1?source_hash=5acb90acd82b10971717aca6c17874390762ecdaa3a8e4db04984ea1d4a2af9b
libpsl,pkg:generic/libpsl@0.21.5?source_hash=1dcc9ceae8b128f3c0b3f654decd0e1e891afc6ff81098f227ef260449dae208
qarchive,pkg:generic/QArchive@2.2.7?source_hash=53bc9633e4e75d01d7ae6ff925fd111fc4951f922f74b37d652df51c0eb4aa30
physfs,pkg:generic/physfs-release@3.2.0?source_hash=18adad9a2d5e165a709588d1d942d73e3ffcb0495244b108cfe402690489990c
implot,pkg:generic/implot@0.16?source_hash=24f772c688f6b8a6e19d7efc10e4923a04a915f13d487b08b83553aa62ae1708
google-benchmark,pkg:generic/benchmark@1.8.4?source_hash=3e7059b6b11fb1bbe28e33e02519398ca94c1818874ebed18e504dc6f709be45
